"Offset","Len","Hint"
"0xF51E87","118","Point to sessions files shared by your team members in order to easily share your sessions definitions with colleagues"
"0xF5200D","44","Edit the default values for each new session"
"0xF52464","51","Point to sessions files shared between team members"
"0xF529EA","32","Toggle absolute or relative path"
"0xF5357C","106","Append Windows PATH to the shell environment<br>This allows you to launch Windows commands like ""ipconfig"""
"0xF53B13","34","Define the local shell prompt type"
"0xF53CA1","129","Check this option if you want the backspace key to send <b>^H</b><br>Uncheck this if you want the backspace key to send <b>^?</b>"
"0xF53E94","44","Create your own syntax coloration definition"
"0xF541B9","103","Customize terminal colors scheme
Choose each individual color for terminal text, background and cursor"
"0xF542EC","104","Select terminal font, choose encoding and font size.
You can also force a fixed number of rows/columns."
"0xF54411","55","Customize advanced terminal settings (for experts only)"
"0xF54580","180","Use the right mouse button for pasting<br><br><u>Note</u>: when this option is checked, contextual menu is still available using <b>Ctrl+Right-click</b> or <b>Shift+Right-click</b>"
"0xF5470A","251","Select the log format:
- Printable output: only log the text which is written onto the terminal
- All session output: log everything, text and control characters
- Printable output with timestamps: same as the first entry with additional timestamps"
"0xF549B4","95","Check this option if you want to copy all terminal activity to a text file for further analysis"
"0xF5511C","95","Show a confirmation dialog on terminal close request, when a session is still running inside it"
"0xF55268","72","Choose which warnings should be displayed before pasting to the terminal"
"0xF55446","34","Enable/disable Composite extension"
"0xF55534","31","Enable/disable DAMAGE extension"
"0xF5561B","30","Enable/disable RANDR extension"
"0xF55715","31","Enable/disable XFIXES extension"
"0xF557FD","30","Enable/disable XTEST extension"
"0xF558E3","33","Enable/disable XINERAMA extension"
"0xF559CF","35","Enable/disable DirectDraw rendering"
"0xF56322","240","<b>OpenGL</b> acceleration type:<br>- choose <b>""Hardware""</b> if your graphic adapter supports HW OpenGL acceleration<br>- choose <b>""Software""</b> if you need OpenGL capabilities rendered using software<br>- choose <b>""None""</b> otherwise"
"0xF5657F","108","Use a keyboard compatible with old Unix systems<br>(for instance, erase key performs a ""^H"" instead of ""^?"")"
"0xF569CE","24","Choose keyboard language"
"0xF56EC5","101","Run X11 server on the selected monitor<br><u>Warning</u>: fullscreen mode only works on first screen."
"0xF5732A","127","Choose Xorg version.<br>If you have some troubles with a certain version of Xorg, this allows you to try an older Xorg release."
"0xF57521","73","Check this option in order to start X11 server at each MobaXterm startup."
"0xF576FE","170","The SSH-browser is a graphical remote file browser which is displayed in the sidebar.
It allows you to browse your remote server content using the secure SSH connection."
"0xF57868","137","When this option is checked, MobaXterm will switch the left sidebar to show the graphical SSH-browser as soon as a SSH connection is made"
"0xF57BA5","107","Check this setting if you want to preserve files dates when transferring them through graphical SSH-browser"
"0xF57D26","126","This setting allows you to display a banner message with some useful information on the activated features of your SSH session"
"0xF57E64","161","Enable GSSAPI in SSH sessions, SFTP, SSH gateway and SSH tunnels.
Your remote SSH server should be configured to accept connections using GSSAPI authentication."
"0xF57FC3","182","If this setting is enabled, the SSH gateways in your sessions will use <b>2-factor authentication</b>.<br>If you do not understand what this setting does, you should not activate it."
"0xF583EC","44","Domain name to use for GSSAPI authentication"
"0xF58644","40","Library to use for GSSAPI authentication"
"0xF596F0","90","If you check this setting, the agent will show a confirmation message before serving a key"
"0xF59A43","34","Add a smart card to the Agent list"
"0xF5A1AA","55","Check this setting if you want the tabs to be ""rounded"""
"0xF5B541","14","Reset defaults"
"0xF5C295","199","If you call the popup terminal while browsing a folder in Windows explorer, MobaXterm will try to guess which folder you are currently browsing and will try to open the popup terminal in this folder."
"0xF5C45E","182","When hiding the popup terminal using show/hide hotkey, it is not closed, but goes to background instead.
This allows to retrieve previous commands when calling popup terminal again."
"0xF5C5C9","139","Check this if you want to be able to open a new MobaXterm window each time you launch MobaXterm, instead of using a single MobaXterm window"
"0xF5C824","60","Prevent users from being able to view their stored passwords"
"0xF5C913","252","Disable storing passphrase of SSH keys into a temporary MobaXterm cache.
This should not be necessary as SSH passphrases are encrypted into volatile memory and freeed when MobaXterm is exited, but if you need full security, you can check this setting."
"0xF5CAB1","84","Prevent users from saving connection passwords into MobaXterm secured password vault"
"0xF5CBB3","185","Disable the RDP ""reconnect"" feature which stores the RDP connection password into a temporary MobaXterm cache in order for the user to be able to quickly reconnect a closed RDP session."
"0xF5D32E","178","If you check this option, MobaXterm users will not be able to modify the application settings.
it is not advised to check this setting unless you really know what you are doing."
"0xF5D486","68","Do not start the X11 server automatically when at MobaXterm start up"
"0xF5DCB5","85","Choose to enable macros, only disable graphical macros or disable all types of macros"
"0xF5DE38","248","The CygUtils (32 & 64) plugins allow the end-user to start a local terminal. The CygUtils32 plugin is deprecated and it will soon reach end of support. You can choose to enable the 2 plugins, disable only the deprecated CygUtils32, or disable both."
"0xF5E35B","25","Default security settings"
"0xF5E425","148","High security settings: choose this preset if you need to disable some of the MobaXterm features that could be a security risk if not properly used."
"0xF5E572","213","Highest security settings: choose this preset if you need to strongly limit the usage of MobaXterm for your users.
Please review carefully the disabled features as some of them may really be needed by your users!"
"0xF61181","88","Leave the login and password fields empty
if your proxy does not require authentication"
"0xF730E5","67","Stay connected to the remote server after command has been executed"
"0xF731C9","194","Specified command will be executed on the remote server after connect.<br>You can specify multiple commands and separate them with "";"" or ""&&"".<br>For instance:<br>pwd;  ls -al;  date;  uname -a"
"0xF735CE","93","Compress data transfered through the SSH channel<br>This is useful for slow connections (WAN)"
"0xF736C1","122","Start a full desktop from your remote server in a new window.<br>For instance, on Raspberry Pi device, you can start LXDE."
"0xF74369","53","Customize advanced SSH protocol and security settings"
"0xF74B04","107","The Telnet protocol has a special <newline> code that can be used when you press Return instead of <ctrl-M>"
"0xF74C50","204","- Active mode: The negotiation starts as soon as the connection is opened
- Passive mode: we wait until we see a negotiation from the server
Switch to ""Passive mode"" only if you know what you are doing."
"0xF75245","9","localhost"
"0xF75899","51","Warning: fullscreen mode only work on first screen."
"0xF75B48","79","Some old Unix systems (AIX, Solaris, HP-UX) need this in order to properly work"
"0xF764DB","34","Compress RDP communication channel"
"0xF765CF","175","This setting allows the remote desktop resolution to be automatically adapted to local resolution and DPI settings.
Requires at least Windows 10 on the client and the server."
"0xF76B90","175","If this setting is checked, the remote server will activate a set of advanced visual features (menus animations, wallpaper, font smoothing, ...) that can decrease performances"
"0xF76D79","33","Show local ports on remote server"
"0xF76E33","42","Redirect local smartcards to remote server"
"0xF76F01","32","Allow copy/paste from/to RDP tab"
"0xF76FD7","36","Show local printers on remote server"
"0xF77096","34","Show local drives on remote server"
"0xF77157","136","Audio input redirection from the client to the remote session: check this setting if you want the audio capture device to be redirected."
"0xF7727C","123","Use native Windows authentication on remote server.
This can be useful especially if you use a smartcard for remote login."
"0xF7754E","108","Keyboard shortcuts will be forwarded to remote desktop instead of being handled by local Windows environment"
"0xF77676","25","Connect to server console"
"0xF779FB","50","Customize advanced RDP settings (for experts only)"
"0xF78197","247","This mode is recommended, especially if you are behind a firewall.<br>In this mode, FTP client initiates the 2 connections (control and data), whereas in active mode, control connection is initiated by the client and data connection by the server."
"0xF783E4","93","If this option is checked, MobaXterm will attempt to perform a FTPS connection to the server."
"0xF784F5","158","If this option is checked, the channel used for data transfer (files, directory listings) will be encrypted, otherwise only command channel will be encrypted."
"0xF78654","131","Text files will be converted to Unix/Dos format during transfer.<br><u>Warning</u>: This feature is not suitable for binary files!!"
"0xF79F8C","99","Check this setting if you want to preserve files dates when transferring them through SFTP sessions"
"0xF7B190","17","Browse for folder"
"0xF7BEE1","194","This setting enables ""emulation"" mode for the browser.
You need to choose ""Internet Explorer"" browser engine and to have a recent version of Internet Explorer in order for this feature to work."
"0xF7C632","51","Display the toolbar at the top of the browser frame"
"0xF7C83B","200","Requests to localhost are allowed over secure HTTPS even when invalid certificates are presented.
This setting is useful especially for developers in order to test their code on localhost web server."
"0xF7C9AC","124","If you enable this setting, Edge will use its embedded passwords manager in order to autofill passwords fields in web pages."
"0xF7CAEC","33","Enable default Edge context menus"
"0xF7E318","25","SSH server listening port"
"0xF7EE7E","233","Start a full desktop from your WSL distro in a new window.<br>This is experimental as it highly depends on your WSL distribution installation and configuration.<br>No support can be provided if this setting fails in your environment."
"0xF7F41A","32","Customize terminal colors scheme"
"0xF7FBAA","95","Check this option if you want to copy all terminal activity to a text file for further analyzis"
"0xF8093F","64","Customize advanced terminal emulator settings (for experts only)"
"0xF80FF9","31","Proxy server name or IP address"
"0xF810E5","17","Proxy server port"
"0xF811CE","23","Proxy server login name"
"0xF812A5","255","You can use the special strings %host and %port: they will be replaced by the host name and port number you want to connect to. The strings %user and %pass will be replaced by the proxy username and password you specify. To get a literal % sign, enter %%."
"0xF81D3C","207","Terminal title will be set to the session name<br><br>If you check this option, any attempt by the shell to set tab title will fail.<br>Uncheck this option if you want to allow the shell to change tab title."
"0xF81ECA","87","A message will be shown after session end asking you if you want to restart the session"
"0xF8268D","26","Secure Shell (SSH) session"
"0xF827DF","14","Telnet session"
"0xF82926","11","RSH session"
"0xF82A65","35","XDMCP (remote Unix desktop) session"
"0xF82BAC","31","RDP (terminal services) session"
"0xF82CEB","11","VNC session"
"0xF82E17","11","FTP session"
"0xF82F43","12","SFTP session"
"0xF83086","20","Serial (COM) session"
"0xF831D6","19","Local shell session"
"0xF83321","50","Launch a given URL, a local folder or a local file"
"0xF83489","27","Mosh (Mobile Shell) session"
"0xF835DC","25","Embedded internet browser"
"0xF8373B","30","Amazon Web Services S3 session"
"0xF83C52","29","SSH server name or IP address"
"0xF83D57","152","Leave this field blank if you want to be prompted for the username during the connection
Use ""<default>"" value if you want to use your Windows username"
"0xF84025","28","Create or manage credentials"
"0xF84165","22","Telnet Remote Hostname"
"0xF84253","234","Type telnet username or leave this field empty if you want to use the ""Login:"" prompt instead.<br><u>Note</u>: Some telnet servers do not support this feature: even if you choose a login, they will still prompt you at each connection."
"0xF8441F","28","Telnet server listening port"
"0xF84579","20","Rsh  Remote Hostname"
"0xF84780","69","Use this setting if you want to connect to the first available server"
"0xF8487C","94","Choose this option if you want to specify the server name or IP address you want to connect to"
"0xF84AA6","29","RDP server name or IP address"
"0xF84BAA","25","RDP server listening port"
"0xF84CA1","82","RDP user name<br>leave this field empty if you want to use the remote logon screen"
"0xF84F67","20","VNC  Remote Hostname"
"0xF8518F","20","FTP  Remote Hostname"
"0xF85597","21","SFTP  Remote Hostname"
"0xF85E88","15","Browse for file"
"0xF85F2D","17","URL or local path"
"0xF86467","65","Remote hostname<br>(mosh-server must be installed on this server)"
"0xF8687B","26","Amazon Web Services Key ID"
"0xF86953","48","Click here for more information about AWS Key ID"
"0xF86BE6","43","Try to connect using the following username"
"0xF86CD1","119","Check this option if you want to specify the login user for your WSL distribution instead of using the default username"
"0xF87E22","36","Add a new shared sessions file entry"
"0xF8807D","43","Move up selected shared sessions file entry"
"0xF8814B","45","Move down selected shared sessions file entry"
"0xF8821A","42","Delete selected shared sessions file entry"
"0xF8A5F7","36","Open the Windows certificate manager"
"0xF8A89B","207","Copy the OpenSSH public key to the clipboard.
If you want to connect to a remote server with this certificate,
you can paste this public key inside the ""~/.ssh/authorized_keys""
file on your remote server."
"0xF8AA5A","41","Copy the key fingerprint to the clipboard"
"0xF8AB73","42","Create a new certificate in the smart card"
"0xF8AC91","51","Delete the selected certificate from the smart card"
"0xF8C4A8","88","This option allows the SSH server to open forwarded connections back to your local agent"
"0xF8C5A1","242","Check this setting if you want to abandon an SSH session and disconnect from the server, if the server accepted authentication without ever having asked for any kind of password or signature or token. This might be used as a security measure."
"0xF8C96B","207","Attempt to authenticate with any suitable public keys held by the agent.
Please note that the internal agent or the external PuTTY agent must be enabled in MobaXterm global settings window for this to work."
"0xF8CB05","39","Restore the default expert SSH settings"
"0xF8CBEC","235","Try to send the local language settings to the remote server:<br>this allows the remote server to be aware of the language and charset settings used locally.<br><br><u>Note</u>: the remote server should support these language settings."
"0xF8D482","63","Use a smart card certificate for the SSH session authentication"
"0xF8D559","44","Remove the configured smart card certificate"
"0xF8DD40","121","Your password will be encrypted using a key derived from your Master Password and strong encryption (AES-256-CBC-SHA512)."
"0xF9240F","17","Reattach this tab"
"0xF944BE","22","Paste to all terminals"
"0xF94C23","32","Try to reconnect the SSH-browser"
"0xF94FEF","9","Sessions "
"0xF95452","6","Tools "
"0xF95594","7","Macros "
"0xF95822","12","More options"
"0xF95B7E","5","Sftp "
"0xF9619E","47","Copy file path to terminal (Middle mouse click)"
"0xF962B8","21","Copy file/folder path"
"0xF963B9","21","Delete selected files"
"0xF964B4","25","Open selected file/folder"
"0xF965C0","15","Create new file"
"0xF966AB","20","Create new directory"
"0xF967A1","14","Refresh folder"
"0xF96891","24","Upload to current folder"
"0xF96987","23","Download selected files"
"0xF96A88","16","Parent directory"
"0xF96B7F","10","ASCII mode"
"0xF96C86","23","Show hidden (dot) files"
"0xF96DA1","24","Use SUDO for SSH-browser"
"0xF9706B","31","Change the SSH-browser position"
"0xF97242","254","This feature allows you to monitor resources usage (CPU/RAM/Network/disk/...) of your remote servers while connected using SSH in a small status bar below SSH terminal.<br>
<b>Note</b>: this setting is experimental and does not work with any Unix system"
"0xF9759C","42","Automatically browse to SSH current folder"
"0xF97718","5","Tabs "
"0xF97A73","4","Log "
"0xF97DDB","20","Save terminal output"
"0xF97ED2","26","Start a new remote session"
"0xF97FC6","27","Show MobaXterm help section"
"0xF980B0","28","Edit MobaXterm configuration"
"0xF981AD","35","Toolbars, menus and buttons options"
"0xF98314","38","Send commands to all terminals at once"
"0xF9842B","26","Terminal splitting options"
"0xF98572","34","Start a MobaXterm embedded program"
"0xF986C7","32","Start a previously saved session"
"0xF98803","28","Open a new terminal in a tab"
"0xF988F8","34","Show the session manager (sidebar)"
"0xF98A31","21","Start a terminal game"
"0xF98B71","31","Decrease the terminal font size"
"0xF98C85","31","Increase the terminal font size"
"0xF98D9A","18","Detach current tab"
"0xF98EA2","18","Cycle through tabs"
"0xF98F94","57","Start MobaSSHTunnel - a graphical port forwarding builder"
"0xF990AC","16","Network services"
"0xF99194","16","Open home folder"
"0xF99292","12","Record macro"
"0xF99380","34","Put current tab in fullscreen mode"
"0xF9948D","25","Define keyboard shortcuts"
"0xF9958B","41","Generate and show MobaXterm documentation"
"0xF9968F","21","Duplicate current tab"
"0xF99796","34","Find some text in current terminal"
"0xF9989C","21","Set current tab title"
"0xF9999A","17","Close current tab"
"0xF99A8F","5","ctris"
"0xF99B76","25","TCPCapture --showdata yes"
"0xF99C82","23","List open network ports"
"0xF99D91","20","Start MobaTextEditor"
"0xF99E91","12","MobaTaskList"
"0xF99F82","36","X11 window with Fvwm2 window manager"
"0xF9A07E","34","X11 window with Twm window manager"
"0xF9A174","31","X11 tab with DWM window manager"
"0xF9A266","37","MobApt package manager (experimental)"
"0xF9A367","17","Iconify MobaXterm"
"0xF9A46E","19","X server is stopped"
"0xF9A576","14","Exit MobaXterm"
"0xF9B177","25","Toggle dark / light theme"
"0xF9BA6C","13","Show tab list"
"0xF9BB75","12","Compact menu"
"0xF9C454","11","Pin sidebar"
"0xF9DC79","7","Iconify"
"0xFA0181","6","MobApt"
"0xFA01DE","3","dwm"
"0xFA0237","4","fvwm"
"0xFA0292","3","twm"
"0xFA0303","10","MobaHwInfo"
"0xFA0383","10","MobaSwInfo"
"0xFA0475","7","cmd.exe"
"0xFA04F2","14","powershell.exe"
"0xFA066C","3","vim"
"0xFA06E1","5","ascii"
"0xFA073E","10","mathomatic"
"0xFA079F","5","nedit"
"0xFA0FE4","8","soliterm"
"0xFA1040","8","termwalk"
"0xFA10EF","6","sudoku"
"0xFA114C","11","nimesweeper"
"0xFA11AC","9","ninvaders"
"0xFA1206","5","greed"
"0xFA1260","9","typespeed"
"0xFA12C4","3","net"
"0xFA1318","5","mines"
"0xFA136D","4","solo"
"0xFA13C2","5","guess"
"0xFA1416","3","map"
"0xFA1468","8","untangle"
"0xFA8EAE","1","."
"0xFABEF4","20","Modify Home settings"
"0xFAE506","82","You can also type ""Ctrl+Alt+End"" in order to generate ""Ctrl+Alt+Del"" on the server"

