"Offset","Len","Caption"
"0xF32996","6","Group:"
"0xF32A68","6","Other:"
"0xF32B32","5","Apply"
"0xF32C33","4","Read"
"0xF32CB8","5","Write"
"0xF32D3E","7","Execute"
"0xF333E1","27","Set permissions recursively"
"0xF3374D","52","Please choose your COM port for serial connection..."
"0xF33A84","25","Terminal colors selection"
"0xF341CE","23"," Basic terminal colors "
"0xF34284","26","Foreground (standard text)"
"0xF3439E","16","Background color"
"0xF34489","17"," Cursor settings "
"0xF34538","12","Cursor color"
"0xF3488E","17"," Terminal colors "
"0xF357A3","32","Show bold font as brighter color"
"0xF35BAA","10","CSV import"
"0xF35E41","31","Import sessions from a CSV file"
"0xF36265","43","The first line of the file contains headers"
"0xF363AD","47","Please choose the content type for each column:"
"0xF36688","20","MobaXterm Customizer"
"0xF36890","9","Welcome  "
"0xF36986","38","This customizer wizard allows you to :"
"0xF369F2","45","MobaXterm Professional settings customization"
"0xF36ADB","46","Edit the shell banner (a.k.a. welcome message)"
"0xF36BFB","36","Edit the default bash profile script"
"0xF36D12","51","Choose the default settings for all MobaXterm users"
"0xF36E38","67","Change the logo displayed in the splash screen and the about window"
"0xF36F6F","27","Hardcode MobaXterm sessions"
"0xF3707E","60","Download and include some plugins to your customized package"
"0xF37313","41","Import or export existing custom settings"
"0xF373E9","16","Import from file"
"0xF37484","14","export to file"
"0xF375B3","45","MobaXterm Professional Customizer version 0.0"
"0xF37695","47","Customization wizard for MobaXterm Professional"
"0xF3770A","36","Demo version: for tests purpose only"
"0xF37804","8","Banner  "
"0xF37917","54","    Choose which terminal banner you want to edit:    "
"0xF37C2C","14","Local terminal"
"0xF37C68","3","SSH"
"0xF37C99","6","Telnet"
"0xF37CCD","6","Rlogin"
"0xF37D01","12","WSL (native)"
"0xF37D3D","15","WSL (localhost)"
"0xF380CF","24","Insert
special
symbols"
"0xF38784","17","Insert variables:"
"0xF387CF","16","Font attributes:"
"0xF38867","14","Version number"
"0xF38976","16","Exported DISPLAY"
"0xF38A36","10","IP address"
"0xF38AE8","10","Tab number"
"0xF38BA8","12","Computername"
"0xF38C67","8","Username"
"0xF39092","15","Connection info"
"0xF3918A","18","Compression status"
"0xF39281","18","SSH-browser status"
"0xF3937B","21","X11-forwarding status"
"0xF3948C","14","Gateway status"
"0xF394F0","9","Profile  "
"0xF39638","29","Local terminal profile script"
"0xF39DA7","10","Settings  "
"0xF39F2D","16","Default settings"
"0xF3A020","6","Logo  "
"0xF3A099","70","Please choose a logo to display in the splash screen and the about box"
"0xF3A19E","12","Default logo"
"0xF3A36C","6","Browse"
"0xF3A4E9","19","Current custom logo"
"0xF3A5A1","10","Sessions  "
"0xF3A9D2","9","Duplicate"
"0xF3AAC2","10","New folder"
"0xF3ABAA","6","Rename"
"0xF3AC95","4","Edit"
"0xF3AD7D","6","Delete"
"0xF3AE67","15","Import sessions"
"0xF3B206","18","Hardcoded sessions"
"0xF3B2FF","9","Plugins  "
"0xF3B3A0","61","Click here if you want to download more plugins for MobaXterm"
"0xF3B551","16","Embedded plugins"
"0xF3C727","28","Select the plugins directory"
"0xF3E075","3","Yes"
"0xF3E1AB","2","No"
"0xF3E81A","21","MobaXterm information"
"0xF3EC8F","45","https://mobaxterm.mobatek.net/CygUtils.plugin"
"0xF3EF4B","16","Shortcut options"
"0xF3F331","24","Hide terminal on startup"
"0xF3F3D0","23","Close MobaXterm on exit"
"0xF3F8B7","5","Close"
"0xF3F9B9","9","Re-attach"
"0xF3FB80","10","Fullscreen"
"0xF3FFF1","11","Stay on top"
"0xF40102","14","Toggle scaling"
"0xF40215","23","Set connection password"
"0xF40322","7","Refresh"
"0xF4042C","12","Ctrl+Alt+Del"
"0xF40539","18","Fit to window size"
"0xF4072E","12","Hide toolbar"
"0xF40AD6","6","0 kb/s"
"0xF40BB4","33","Please wait while opening file..."
"0xF4167A","13","Macro edition"
"0xF41937","2","ms"
"0xF41A0B","10","Key press:"
"0xF41A83","6","Sleep:"
"0xF41BD4","5","Text:"
"0xF41C94","17","Wait for pattern:"
"0xF41F49","19","Call another macro:"
"0xF42208","15","Keyboard event:"
"0xF42666","12","Mouse event:"
"0xF4281D","9","Wait for:"
"0xF42A00","7","Find..."
"0xF42B8D","14","&Text to find:"
"0xF42D7A","4","Find"
"0xF42FA7","11","Match &case"
"0xF43038","20","&Regular expressions"
"0xF430D5","14","Reverse search"
"0xF43184","23","Terminal font selection"
"0xF43523","15"," Terminal font "
"0xF438FE","4","Bold"
"0xF4442C","12","Antialiasing"
"0xF446E0","9","Ligatures"
"0xF4476E","15"," Terminal size "
"0xF44833","34","Force fixed rows / columns number:"
"0xF44ADE","38","Host key validation - more information"
"0xF45151","15","Hotkeys edition"
"0xF459E6","21","Please choose an icon"
"0xF45BC7","12","Custom icons"
"0xF45DC6","39","Select a specific icon for this session"
"0xF46767","3","GB1"
"0xF467DC","37","Only reset the local terminal content"
"0xF46878","33","Export only the selected elements"
"0xF46907","37","Export entire MobaXterm configuration"
"0xF46981","3","GB2"
"0xF47371","37","Please wait while downloading file..."
"0xF47992","8","Texte..."
"0xF47B1F","4","Name"
"0xF47E9A","13","Show password"
"0xF481E1","28","Remember me on this computer"
"0xF483EF","34","MobaXterm jump hosts configuration"
"0xF485B5","36","Define one or several SSH jump hosts"
"0xF486BB","75","(Jump through one or several SSH servers in order to reach your end-server)"
"0xF488D7","21","Add another jump host"
"0xF48DB7","59","or use Ctrl+SPACE in order to display the popup macros menu"
"0xF49464","18","Edit selected line"
"0xF495B1","21","Insert new line above"
"0xF49706","21","Insert new line below"
"0xF4984A","11","Delete line"
"0xF499D4","9","Edit line"
"0xF49B5D","22","Divide all sleeps by 2"
"0xF49BBF","24","Multiply all sleeps by 2"
"0xF49C6A","28","MobaXterm passwords settings"
"0xF49FCD","15","Delete selected"
"0xF4A067","10","Delete all"
"0xF4A134","23","Save sessions passwords"
"0xF4A1FF","6","Always"
"0xF4A257","5","Never"
"0xF4A2AE","3","Ask"
"0xF4A310","33","Save SSH keys passphrases as well"
"0xF4A3EA","30","Choose where to save passwords"
"0xF4A4BC","13","User registry"
"0xF4A549","18","Configuration file"
"0xF4A5C1","14","Show passwords"
"0xF4A82E","24","Master Password settings"
"0xF4AA48","9","Passwords"
"0xF4AAE3","8","Protocol"
"0xF4AB71","10","Servername"
"0xF4ABBB","8","Password"
"0xF4AD56","11","Credentials"
"0xF4B09A","3","New"
"0xF4B1D1","13","Copy username"
"0xF4B216","15","Copy servername"
"0xF4B25C","13","Copy password"
"0xF4B2E8","25","MobaXterm Master Password"
"0xF4B4B7","243","Please enter a ""Master Password"" in order to protect your password vault.
The master password is used to encrypt all your stored passwords.

IMPORTANT:  DO NOT FORGET YOUR MASTER PASSWORD,
otherwise you will lose all your stored passwords!"
"0xF4B60E","26","Secure my stored passwords"
"0xF4B6F6","25","Master password strength:"
"0xF4BCB2","34"," Prompt me for my master password "
"0xF4BF6E","10","A
B
C
D"
"0xF4C1A8","30","Do not show this message again"
"0xF4C478","26","MobaXterm packages manager"
"0xF4C635","37","MobApt: package manager for MobaXterm"
"0xF4C749","90","Experimental tool: applications installed using MobApt are not guaranteed to work properly"
"0xF4C951","16","Install / update"
"0xF4CA82","38","Building packages list, please wait..."
"0xF4CDD2","23","Show installed packages"
"0xF4CE85","22","Show available updates"
"0xF4CF37","23","Show available packages"
"0xF4D20D","50","Show unofficial packages from ""cygwinports"" mirror"
"0xF4D2CA","23","Show lib/devel packages"
"0xF4D36C","12","Package name"
"0xF4D399","11","Description"
"0xF4D3B9","7","Version"
"0xF4D68D","9","Uninstall"
"0xF4D79A","13","Create plugin"
"0xF4D942","22","MobaXterm Home Edition"
"0xF4DFC9","42","For more information, please click here..."
"0xF4E270","12","Network scan"
"0xF4E455","77","Network and port scan tools can be disabled in MobaXterm Professional Edition"
"0xF4EA31","12","Restart scan"
"0xF4ECFC","3","FTP"
"0xF4ED7D","3","VNC"
"0xF4EDFE","3","RDP"
"0xF4F05A","11","Other ports"
"0xF4F0E1","4","HTTP"
"0xF4F15B","11","MAC Address"
"0xF4F249","17","Protocol template"
"0xF4F321","19","Scan ports template"
"0xF4F405","24","Lookup mac addr template"
"0xF4F4CC","10","Ports scan"
"0xF4F62B","4","Back"
"0xF4FF39","21","Scan only known ports"
"0xF4FFC5","16","Scan ports range"
"0xF5016E","10","Start scan"
"0xF502CF","14","Network status"
"0xF5053F","13","Local Address"
"0xF5058A","10","Local Port"
"0xF505D2","14","Remote Address"
"0xF5061E","11","Remote Port"
"0xF50667","5","State"
"0xF50940","23","MobaXterm Configuration"
"0xF50D24","7","General"
"0xF5190A","49","Automatically backup MobaXterm configuration file"
"0xF51AAF","32","Windows right-click menu entries"
"0xF51C61","30","MobaXterm passwords management"
"0xF51D82","28","MobaXterm keyboard shortcuts"
"0xF51F04","25","Manage my shared sessions"
"0xF52040","24","Edit my sessions presets"
"0xF5249E","22","Manage shared sessions"
"0xF528ED","21","Edit sessions presets"
"0xF53449","8","Terminal"
"0xF53500","22"," Local shell settings "
"0xF535ED","16","Use Windows PATH"
"0xF53D29","18","Backspace sends ^H"
"0xF53E0C","32"," Default terminal look and feel "
"0xF53EC7","9","Customize"
"0xF54227","22","Default color settings"
"0xF5435B","21","Default font settings"
"0xF5444F","15","Expert settings"
"0xF5463B","23","Paste using right-click"
"0xF54A1A","46","Log terminal output to the following directory"
"0xF55182","12","Close prompt"
"0xF552B7","22","Paste warning settings"
"0xF55350","3","X11"
"0xF553D1","42"," X11 extensions (for advanced users only) "
"0xF5546F","9","Composite"
"0xF5555A","6","Damage"
"0xF55654","5","Randr"
"0xF5573B","6","Xfixes"
"0xF55822","5","Xtest"
"0xF5590B","8","Xinerama"
"0xF559F9","10","DirectDraw"
"0xF55AC0","14"," X11 settings "
"0xF565F2","24","Unix-compatible keyboard"
"0xF572CE","17"," Server settings "
"0xF57571","50","Automatically start X server at MobaXterm start up"
"0xF5769C","22"," SSH-browser settings "
"0xF577AF","28","Enable graphical SSH-browser"
"0xF578F8","51","Automatically switch to SSH-browser tab after login"
"0xF57B06","17","Remote-monitoring"
"0xF57C17","49","Preserve files dates during SSH-browser transfers"
"0xF57CCB","14"," SSH settings "
"0xF57DAB","18","Display SSH banner"
"0xF57F0C","15","GSSAPI Kerberos"
"0xF58080","44","Use 2-factor authentication for SSH gateways"
"0xF58365","13","SSH keepalive"
"0xF58A9F","42","Validate host identity at first connection"
"0xF58ED1","12"," SSH agents "
"0xF590E1","33","Use internal SSH agent ""MobAgent"""
"0xF5925E","1","+"
"0xF59589","15","Use PuTTY agent"
"0xF59632","38","Show keys currently loaded in MobAgent"
"0xF59751","26","Prompt before serving keys"
"0xF59996","21","Use Windows SSH agent"
"0xF59AEF","7","Display"
"0xF59C01","12","Transparency"
"0xF59C63","2","0%"
"0xF59CBB","3","36%"
"0xF59D2E","16","Color saturation"
"0xF59DAE","32","Detached/fullscreen transparency"
"0xF59F4A","15","Tabs settings: "
"0xF5A1E8","12","Rounded tabs"
"0xF5A2C4","16","Show tab numbers"
"0xF5A359","18","Show close buttons"
"0xF5A3F0","46","Disable ""Quick connect"" when sidebar is hidden"
"0xF5AE40","72","Show green/orange buttons next to each open session in the sessions tree"
"0xF5AEEC","7","Toolbar"
"0xF5B009","11","Button name"
"0xF5B423","2","Up"
"0xF5B4B1","4","Down"
"0xF5B556","5","Reset"
"0xF5B5C2","4","Misc"
"0xF5B63F","6"," Tabs "
"0xF5B692","42","Home tab is replaced when starting new tab"
"0xF5B726","45","Do not exit MobaXterm when last tab is closed"
"0xF5BD01","16"," Popup terminal "
"0xF5BD7A","13","Transparency:"
"0xF5BDDE","3","16%"
"0xF5BE51","5","Size:"
"0xF5C201","26","Popup terminal is sizeable"
"0xF5C363","65","Try to open the popup terminal in current Windows explorer folder"
"0xF5C51B","41","Hide popup terminal instead of closing it"
"0xF5C65B","37","Allow multiple instances of MobaXterm"
"0xF5C6E6","8","Security"
"0xF5C77A","14","Apply presets:"
"0xF5C7C2","22"," Passwords management "
"0xF5C867","24","Disable ""show passwords"""
"0xF5CA16","24","No SSH keys passwd cache"
"0xF5CB0C","24","Disable passwords saving"
"0xF5CC73","23","Disable RDP ""reconnect"""
"0xF5CF1E","28","Do not store master password"
"0xF5D2D3","15"," Misc features "
"0xF5D3E7","24","Disable settings edition"
"0xF5D4D1","21","Disable X11 autostart"
"0xF5E07E","18"," Disable sessions "
"0xF5E16C","26"," Disable embedded servers "
"0xF5E262","24"," Disable embedded tools "
"0xF5E37B","8","Defaults"
"0xF5E4C0","13","High security"
"0xF5E64E","19","Restricted features"
"0xF5EA76","24","MobaXterm paste settings"
"0xF5EBE6","44","Select which warnings to show before pasting"
"0xF5F681","13","MobaSSHTunnel"
"0xF5F8A7","57","Welcome to MobaSSHTunnel - Graphical port forwarding tool"
"0xF5FAC7","10","Start/stop"
"0xF5FC81","4","Type"
"0xF5FD09","12","Forward port"
"0xF5FD9A","18","Destination server"
"0xF5FE31","10","SSH server"
"0xF5FEBA","5","Order"
"0xF60365","103","Please support MobaXterm by subscribing to the Professional edition here: https://mobaxterm.mobatek.net"
"0xF615C7","14","New SSH tunnel"
"0xF6167A","17","Start all tunnels"
"0xF61739","16","Stop all tunnels"
"0xF617F8","4","Exit"
"0xF65F35","21","Local port forwarding"
"0xF6604B","22","Remote port forwarding"
"0xF66150","37","Dynamic port forwarding (SOCKS proxy)"
"0xF6625B","4","Save"
"0xF66497","51","To access the remote server, connect to localhost:0"
"0xF667B8","77","Local port forwarding: connection from local clients to remote server        "
"0xF6697E","27","My computer
with MobaXterm"
"0xF66D63","13","Remote server"
"0xF66E14","13","Local clients"
"0xF66EC7","8","Firewall"
"0xF670C2","19","SSH tunnel         "
"0xF680CD","33","Use Windows Hello to authenticate"
"0xF6816D","89","You can use other authentication methods
if they are configured for your Windows account"
"0xF68A2B","10","Yes to all"
"0xF68BF5","30","Autosave (do not ask me again)"
"0xF68CC4","26","MobaXterm right-click menu"
"0xF68F8A","59","Select which items to show in Windows explorer context menu"
"0xF693E4","50","Start MobaXterm here (contextual menu for folders)"
"0xF69498","52","Edit with MobaTextEditor (contextual menu for files)"
"0xF6954F","50","Compare using MobaDiff (contextual menu for files)"
"0xF69604","52","Compare using MobaDiff (contextual menu for folders)"
"0xF696BB","54","Find text using MobaFind (contextual menu for folders)"
"0xF69A40","163","The terminal output contains more than 36000 lines.
Saving the entire terminal output may take a lot of time!

Do you want to limit the number of lines to save?"
"0xF69B8C","36","Yes, limit the number of saved lines"
"0xF69CC7","19","No, save everything"
"0xF6A229","47","Select which group of settings you want to copy"
"0xF6A752","18","Servers management"
"0xF6A8E6","11","HTTP server"
"0xF6A946","10","FTP server"
"0xF6A9A5","11","TFTP server"
"0xF6AC77","15","SSH/SFTP server"
"0xF6ADAE","13","Telnet server"
"0xF6AEE6","10","NFS server"
"0xF6B018","10","VNC server"
"0xF6B21B","11","Cron server"
"0xF6B27E","12","Iperf server"
"0xF6C199","4","Main"
"0xF6C218","52","Welcome to       
MobaXterm Network Services       "
"0xF6C2EA","4","TFTP"
"0xF6C3E0","20","TFTP server settings"
"0xF6C4A6","7","seconds"
"0xF6C4E9","5","Bytes"
"0xF6C699","38","Show message after successful download"
"0xF6C747","36","Show message after successful upload"
"0xF6CC79","17","Stop server after"
"0xF6CFCB","19","FTP server settings"
"0xF6D7C7","27","Allow anonymous connections"
"0xF6D864","23","Implicit SSL encryption"
"0xF6D8EA","17","Use UTF-8 charset"
"0xF6DB3B","50","Prompt me before accepting any incoming connection"
"0xF6DCC7","20","HTTP server settings"
"0xF6DF3F","37","Allow users to list directory content"
"0xF6DFE6","44","Allow users to browse outside root directory"
"0xF6E6D2","24","SSH/SFTP server settings"
"0xF6E7A3","118","This is a simple SSH/SFTP server: you can only log on using your current Windows login () and the associated password."
"0xF6E8D5","63","For a complete SSH server for Windows, please download MobaSSH."
"0xF6E9CE","27","https://mobassh.mobatek.net"
"0xF6F152","22","Telnet server settings"
"0xF6F2D4","133","This is a simple Telnet server:
- Remote users can only log on to the current MobaXterm session
- No advanced option is available
"
"0xF6FBEA","3","NFS"
"0xF6FC5A","246","This is a basic NFS server:
- The entire ""/"" directory will be shared and exported
- No login or password information is asked for logon
- Remote users will have the same permissions than current local user
- No advanced option is available
"
"0xF6FE23","34","NFS server settings (experimental)"
"0xF704A7","19","VNC server settings"
"0xF70576","53","This is a simple VNC server based on TightVNC server."
"0xF7064D","39","- VNC requests can be sent to port 5900"
"0xF70716","40","- You can use the web browser at address"
"0xF707E5","21","http://127.0.0.1:5800"
"0xF71172","4","Cron"
"0xF71296","145","This is a simple Cron server for MobaXterm.
It cannot be run when MobaXterm is stopped.
You can edit your crontabs using the ""crontab"" command."
"0xF713FA","20","Cron server settings"
"0xF718B8","39","Start Cron server when MobaXterm starts"
"0xF71924","5","Iperf"
"0xF71A60","21","IPERF server settings"
"0xF71B2E","173","This is a simple Iperf server for MobaXterm.
You can test bandwidth between another computer
and this one by running the following command:
iperf -c <MyComputerIpAddress>"
"0xF726D0","16","Session settings"
"0xF72982","24","Choose a session type..."
"0xF72FE6","21","Advanced SSH settings"
"0xF7312F","30","Do not exit after command ends"
"0xF73524","14","X11-Forwarding"
"0xF73632","11","Compression"
"0xF73AF7","16","Use private key "
"0xF73F18","33","Try to follow SSH path in browser"
"0xF743A5","19","Expert SSH settings"
"0xF7443E","24","Advanced Telnet settings"
"0xF74A64","23","Enable Telnet KeepAlive"
"0xF74B76","60","<Return> key sends <newline> telnet code instead of <ctrl+M>"
"0xF74E44","21","Advanced Rsh settings"
"0xF74FBF","23","Advanced Xdmcp settings"
"0xF751B8","18","Enable font server"
"0xF75B9E","15","Set Numlock off"
"0xF75F16","68","Indirect mode (displays the XDMCP ""chooser"" of the specified server)"
"0xF761C6","18"," Display settings "
"0xF76293","17"," Local resources "
"0xF7635E","21"," Connection settings "
"0xF7643B","12","Smart sizing"
"0xF76504","18","Enable compression"
"0xF76685","9","Autoscale"
"0xF76C46","17","Enhanced graphics"
"0xF76CE2","20","Display settings bar"
"0xF76DA1","14","Redirect ports"
"0xF76E64","19","Redirect smartcards"
"0xF76F28","18","Redirect clipboard"
"0xF77002","17","Redirect printers"
"0xF770BF","15","Redirect drives"
"0xF771E6","19","Redirect microphone"
"0xF772FE","21","Native authentication"
"0xF775C1","26","Forward keyboard shortcuts"
"0xF77696","13","Admin console"
"0xF77A34","19","Expert RDP settings"
"0xF77AD6","21","Advanced Vnc settings"
"0xF77BDC","62","Auto scale display to fit the terminal size without scrollbars"
"0xF77C9E","45","View only (disable mouse and keyboard inputs)"
"0xF77D3B","24","Display VNC settings bar"
"0xF77DDB","27","Use new embedded VNC engine"
"0xF77E5E","42","Use SSL tunneling to secure the connection"
"0xF77F99","8","Use IPv6"
"0xF77FE7","21","Advanced Ftp settings"
"0xF78295","12","Passive mode"
"0xF78448","9","FTPS mode"
"0xF7859A","20","Encrypt data channel"
"0xF786DE","10","ASCII mode"
"0xF78C47","4","SSL2"
"0xF78CD7","4","SSL3"
"0xF78D6D","4","TLS1"
"0xF78E17","6","TLS1.1"
"0xF78EAF","6","TLS1.2"
"0xF78F5B","12","Implicit SSL"
"0xF790F3","6","TLS1.3"
"0xF79166","22","Advanced Sftp settings"
"0xF792C3","13","UTF-8 Charset"
"0xF79E00","22","2-steps authentication"
"0xF79FF6","20","Preserve files dates"
"0xF7A073","24","Advanced Serial settings"
"0xF7A6DE","14","Reset defaults"
"0xF7A7FF","106","If you need to transfer files (e.g. router configuration file), you can use MobaXterm embedded TFTP server"
"0xF7A926","34","""Servers"" window  -->  TFTP server"
"0xF7AC60","29","Advanced File/folder settings"
"0xF7AE01","177","File/folder sessions allow you to
- Open a specified folder in Windows explorer
- Open a file using its default associated program
- Launch URLs using the default web browser"
"0xF7AEF7","67","Try to open the file/folder/url into a MobaXterm tab (experimental)"
"0xF7B023","23","Advanced Shell settings"
"0xF7B0AD","42","Execute the following commands at startup:"
"0xF7B7E3","25","Advanced Browser settings"
"0xF7B942","15","Display top bar"
"0xF7B9F4","19","Display back button"
"0xF7BAAB","22","Display forward button"
"0xF7BB65","22","Display refresh button"
"0xF7BC1E","19","Display stop button"
"0xF7BCD5","19","Display home button"
"0xF7BD8C","19","Display address bar"
"0xF7BE3E","30","Disable external popup windows"
"0xF7C719","29","Enable external popup windows"
"0xF7C7A5","18","Enable Smartscreen"
"0xF7C90A","24","Allow insecure localhost"
"0xF7CA2F","25","Use Edge stored passwords"
"0xF7CB14","20","Enable context menus"
"0xF7CBC4","21"," Proxy configuration "
"0xF7CE64","22","Advanced Mosh settings"
"0xF7E25F","21","Use SSH private key :"
"0xF7E5FA","39","Advanced Aws S3 (experimental) settings"
"0xF7E735","173","AWS S3 sessions are EXPERIMENTAL: you should use them for test purpose only.
You have to provide your Key ID and you will be prompted for your key secret before proceeding."
"0xF7E87A","21","Advanced WSL settings"
"0xF7F2C5","17","Terminal settings"
"0xF7F441","14","Color settings"
"0xF7F646","13","Font settings"
"0xF7FC10","23","Log terminal output to:"
"0xF8024E","15","ChkBoldAsColour"
"0xF80457","24","Keep rows/cols on resize"
"0xF80A29","16","Network settings"
"0xF80B3A","31"," Proxy settings (experimental) "
"0xF815E3","23","SSH gateway (jump host)"
"0xF81A05","17","Bookmark settings"
"0xF81B21","12","Session Icon"
"0xF81BD1","41","Create a desktop shortcut to this session"
"0xF81E12","19","Lock terminal title"
"0xF81F28","43","Display reconnection message at session end"
"0xF821F8","19","Customize tab color"
"0xF8242D","7","TabVide"
"0xF82536","11","SSH session"
"0xF82976","3","Rsh"
"0xF82ABB","5","Xdmcp"
"0xF82F95","4","SFTP"
"0xF830E2","6","Serial"
"0xF83230","5","Shell"
"0xF83398","4","File"
"0xF834EA","4","Mosh"
"0xF8363D","7","Browser"
"0xF837A1","6","Aws S3"
"0xF83A03","3","WSL"
"0xF83BCF","18","Basic SSH settings"
"0xF840DF","21","Basic Telnet settings"
"0xF844F6","18","Basic Rsh settings"
"0xF846E8","20","Basic Xdmcp settings"
"0xF847CC","21","Connect to any server"
"0xF848E1","29","Specify server to connect to:"
"0xF84A22","18","Basic Rdp settings"
"0xF84EE2","18","Basic Vnc settings"
"0xF8510B","18","Basic Ftp settings"
"0xF85511","19","Basic Sftp settings"
"0xF85920","21","Basic Serial settings"
"0xF85D3B","26","Basic File/folder settings"
"0xF85FF5","20","Basic Shell settings"
"0xF862A0","22","Basic Browser settings"
"0xF863E1","19","Basic Mosh settings"
"0xF8675E","36","Basic Aws S3 (experimental) settings"
"0xF867F6","75","(Aws S3 sessions are experimental and should be used for test purpose only)"
"0xF86A0C","18","Basic WSL settings"
"0xF86D4F","16","Specify username"
"0xF87409","26","Reset default SSH settings"
"0xF877BC","26","Shared sessions management"
"0xF87983","41","Shared sessions locations                "
"0xF87D84","21","TabListSharedSessions"
"0xF87E4D","3","Add"
"0xF87F52","3","URL"
"0xF883D7","20","TabEditSharedSession"
"0xF88477","29"," Shared sessions root folder "
"0xF88556","7","minutes"
"0xF886F7","28","Refresh folder entries every"
"0xF8879F","31"," Shared sessions file location "
"0xF88809","17","Use private key: "
"0xF88D67","30","Shared sessions modifications "
"0xF88F4A","6","Nobody"
"0xF88FCF","8","Everyone"
"0xF89045","7","Only me"
"0xF890BA","11","Custom list"
"0xF896B0","12","Delete entry"
"0xF896FB","10","Edit entry"
"0xF89748","13","Add new entry"
"0xF897E4","29","Shared sessions file creation"
"0xF89A72","194","After clicking OK, a file containing your shared sessions will be created.
Tell your colleagues to right-click on their sessions tree, click on
""Manage shared sessions"" and point to this file."
"0xF89B8D","29","Share sessions with your team"
"0xF8A390","31","Choose a smart card certificate"
"0xF8A52F","12","Refresh list"
"0xF8A622","18","Certificates store"
"0xF8A7A9","38","Please choose a smart card certificate"
"0xF8A971","15","Copy public key"
"0xF8AA8A","16","Copy Fingerprint"
"0xF8ABA4","18","Create certificate"
"0xF8ACCB","18","Delete certificate"
"0xF8B06B","26","  Create a new certificate"
"0xF8B4F4","24","    Delete a certificate"
"0xF8B9C8","30","Advanced SSH protocol settings"
"0xF8C507","22","Allow agent forwarding"
"0xF8C69A","47","Disconnect if authentication succeeds trivially"
"0xF8C88F","62","Prefer hostkey algorithms for which a hostkey is already known"
"0xF8CA41","42","Attempt authentication using the SSH agent"
"0xF8CCDE","30","Adapt locales on remote server"
"0xF8D334","51","Chokes on full KexInit (filter KEX algorithms list)"
"0xF8D884","34","Do you want to save this password?"
"0xF8D959","113","MobaXterm will use your ""Master Password"" in order to secure
all your stored passwords with strong encryption.
"
"0xF8DEBC","29","Customize syntax highlighting"
"0xF8E073","72","User highlighter settings: modify one of the 8 custom syntax definitions"
"0xF8E373","18","Save modifications"
"0xF8E410","25","Remove this custom syntax"
"0xF8E572","30","Custom syntax help and samples"
"0xF8E64E","34","Import ""network"" syntax definition"
"0xF8E753","34","Fill-in fields with sample entries"
